Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
😍😍😍😍😍,0.9325,Positive,0.0,Neutral,0.3085779249668121,Neutral
Ok. YouTube counts however many views come from one account. Just because Despacito has 7B views doesn't mean 7B different people have watched it. There aren't even 7B people in the world with internet access,0.0,Neutral,0.0625,Positive,0.6868695616722107,Positive
disgusting dancers yuck,-0.5267,Negative,-1.0,Negative,-0.8279460668563843,Negative
I love this song but i don't like the meaning,-0.0168,Neutral,0.5,Positive,0.4632851481437683,Positive
OMG HE DOESN'T NEED AUTOTUNE!!!!,0.0,Neutral,0.0,Neutral,-0.3948003053665161,Negative
I love luis fonsi 😭,0.2732,Positive,0.5,Positive,0.779676079750061,Positive
❤️🔥🔥🔥🔥🔥🔥🔥🔥❤️,-0.9451,Negative,0.0,Neutral,0.3085779249668121,Neutral
데~스바~씨도~~,0.0,Neutral,0.0,Neutral,0.2725696265697479,Neutral
寝ないと死ぬって言われても相手見えん,-0.5994,Negative,-0.125,Negative,-0.3567908406257629,Negative
Any song sounds so much better en Español❤❤❤❤❤❤❤❤,0.9904,Positive,0.5,Positive,-0.5483222007751465,Negative
Donde están los l@tinos.,0.0,Neutral,0.0,Neutral,0.2597409188747406,Neutral
I don't understand the language song but I really injoy the bet of the song best cover ever👍👍👍👍,0.9107,Positive,0.7,Positive,0.3150627613067627,Neutral
🥰🥰   3 years later now is 7.47B  !!!,0.9475,Positive,0.0,Neutral,0.344824343919754,Positive
1 minuto de silêncio para o cara do violão🎸 💕,0.6486,Positive,0.0,Neutral,-0.4784246981143951,Negative
"Clubtraxxx, Vol. 19
G Vader - Despacito (Festival Progressive Mix)",0.4939,Positive,0.0,Neutral,0.4165754318237304,Positive
Still viewing it in 2021😅😅😅,0.7579,Positive,0.0,Neutral,0.4158905446529388,Positive
Well now it's the 2nd most viewed coz first is Baby Shark😅,0.5574,Positive,0.25,Positive,0.6285130381584167,Positive
"Как круто! Слушая, я не могу не подпевать: "" Де спасито ""!!!) Спасибо, спасибо, ОГРОМНОЕ СПАСИБО!!!!",0.9541,Positive,0.67138671875,Positive,0.6916718482971191,Positive
Nice vocal and song,0.4215,Positive,0.6,Positive,0.5102649331092834,Positive
Класс!!!,0.0,Neutral,0.0,Neutral,0.5497551560401917,Positive
justin beiber..,0.0,Neutral,0.0,Neutral,0.2611777484416961,Neutral
los gringos solo conocen a Luis fonsi por la canción de despacito,0.0,Neutral,0.0,Neutral,-0.2429638504981994,Negative
Now Despacito has crossed Earth's population. It means aliens are also listening 😂,0.4404,Positive,0.0,Neutral,0.2790326178073883,Neutral
"But I like to say, everyone in the vidoe is great!!",0.8881,Positive,1.0,Positive,0.4583218395709991,Positive
"Could I ask who that woman is, the one with long hair, very impressed, like to watch more of her dance!",0.7553,Positive,0.525,Positive,0.5073193311691284,Positive
Ohhhh the inappropriate Ness in the background 0hh eww,0.0,Neutral,0.0,Neutral,-0.5165892243385315,Negative
En pleno 2021 sigo sin superar este temon,0.0,Neutral,0.0,Neutral,-0.2952757179737091,Negative
"Teacher   world population 
Me     just check Despacito veiws and that 7.4B 🤣🤣🤣🤣",0.9153,Positive,0.0,Neutral,0.284801036119461,Neutral
*despacito is  known as world population*,0.0,Neutral,0.0,Neutral,-0.2290614992380142,Negative
https://youtu.be/W3GrSMYbkBE,0.0,Neutral,0.0,Neutral,0.2232354283332824,Neutral
After 3 yrs 3 billion views got 7.4 billion 🙌,0.0,Neutral,0.0,Neutral,-0.6808745861053467,Negative
😍😍😍😍😍😍😍🥰🥰❤❤❤❤❤❤❤❤❤❤❤❤🥰🥰🥰,0.9988,Positive,0.0,Neutral,0.3085779249668121,Neutral
This will remain as my lifetime favourite song....love it..,0.0,Neutral,0.0,Neutral,0.8809807300567627,Positive
It’s sad that some people think  this is Justin B song but it’s not,-0.2617,Negative,-0.5,Negative,0.3420534431934356,Positive
https://youtu.be/TfkP5ubz1z4,0.0,Neutral,0.0,Neutral,0.2341824918985366,Neutral
💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏,0.9948,Positive,0.0,Neutral,0.3085779249668121,Neutral
💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏🎂,0.9921,Positive,0.0,Neutral,0.3085779249668121,Neutral
🎂🎂🎂🎂,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏,0.9921,Positive,0.0,Neutral,0.3085779249668121,Neutral
💏🛍👜👑,0.4215,Positive,0.0,Neutral,0.3085779249668121,Neutral
💖ffggf,0.296,Positive,0.0,Neutral,0.3085779249668121,Neutral
💚ffgfghhjjggggggggggggghhhhhhhhhhh,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏💏,0.9976,Positive,0.0,Neutral,0.3085779249668121,Neutral
💚💚💚,0.9274,Positive,0.0,Neutral,0.3085779249668121,Neutral
🙏🙏🙏👏👏👏🎉🎉🎉😎😎😎,0.9442,Positive,0.0,Neutral,0.3085779249668121,Neutral
I have not a clue what Luis Fonsi is singing about but his voice and the Music got me rocky in my seat.,0.0,Neutral,0.0,Neutral,0.346215546131134,Positive
I downloaded duolingo app to learn Spanish. 😆,0.3612,Positive,0.0,Neutral,0.3512574136257171,Positive
Congratulations 🎊🎉🍾🎈,0.765,Positive,0.0,Neutral,0.5255993008613586,Positive
"""Despacito""....significa en la canción....poco a poco...sin prisa....con calma....bien despacio",0.0,Neutral,-0.3,Negative,0.2388682067394256,Neutral
Good singing,0.4404,Positive,0.7,Positive,0.5123287439346313,Positive
I love you so much❤😀😘 Luis Alfono💋💋💋,0.9697,Positive,0.5,Positive,0.8078290224075317,Positive
時の重要性を思う、本人が歌っていてもyoutubeにアップしてた時が良かった、今後の活躍に期待したい。,0.891,Positive,0.3333333333333333,Positive,0.4681899547576904,Positive
춤이 음 섹시 히고 좋구만 노래는 말할것도 없으시고 멋지십니다 팬이예요,0.8667,Positive,0.4833333333333334,Positive,-0.3814155161380768,Negative
!!woohoo!! 👏🏻👏🏻👏🏻👏🏻👏🏻 💖💖💖💖💖💖💖💖💖💖 👍🏻👍🏻,0.9967,Positive,0.0,Neutral,0.3893905580043793,Positive
It's really amazing your super voice❤️❤️❤️,0.8503,Positive,0.4666666666666667,Positive,0.8928782343864441,Positive
La pesca un depote hermoso lastima que el pes porsu because atrapa el bocado,0.2023,Positive,0.85,Positive,0.4805230498313904,Positive
Alguien esta aueriedo entender,0.0,Neutral,0.25,Positive,-0.4179658889770508,Negative
