Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Free Pooh frfr!!!!!,0.6671,Positive,1.0,Positive,-0.3753350675106048,Negative
🔥 Shiesty lil dude,-0.34,Negative,0.0,Neutral,0.2607708275318146,Neutral
FREE SHIESTY,0.5106,Positive,0.4,Positive,0.2868470847606659,Neutral
"I hope he don’t come out like Bobby, while new character 😭",0.3182,Positive,0.1363636363636363,Positive,0.3963354229927063,Positive
They bout to Clone this nigga 👽,0.0,Neutral,0.0,Neutral,-0.414824515581131,Negative
Gucci really the most influence rapper alive after Wayne.,0.4336,Positive,0.2666666666666666,Positive,0.8296307325363159,Positive
Damm free homie💔,0.6597,Positive,0.4,Positive,0.2520654499530792,Neutral
Anybody seeing this comment I hope you all become successful 🗣️💯,0.7717,Positive,0.75,Positive,0.6300380825996399,Positive
DAMN #FREETHEMAINSLIME 🐍,-0.5319,Negative,0.0,Neutral,0.3808462619781494,Positive
"Get free soon Pooh take care of yourself and stay strong it’ll go by fast. I’m sure it’ll only be 2 years and he’ll get parole, just got hope the best for him",0.9595,Positive,0.4222222222222222,Positive,-0.2321868538856506,Negative
Bad flow,-0.5423,Negative,-0.6999999999999998,Negative,-0.5925978422164917,Negative
2 1/2 Years Ain’t Nun To a South Memphis Steppa,0.0,Neutral,0.0,Neutral,-0.3238347768783569,Negative
I thought pooh looked weird man mouth iced out,-0.1779,Negative,-0.5,Negative,-0.4739386439323425,Negative
Bro finna get cloned,0.0,Neutral,0.0,Neutral,0.2628391683101654,Neutral
The real Pooh shiesty really gone now 😕,-0.3744,Negative,0.2,Positive,0.4160953164100647,Positive
Yeah they DEFINITELY couldn’t show this video before the trial😂😂,0.8868,Positive,0.0,Neutral,-0.491118460893631,Negative
Why he in the same green mclaren,0.0,Neutral,-0.1,Negative,-0.3178871273994446,Negative
Biggest slime,0.0,Neutral,0.0,Neutral,-0.483280211687088,Negative
Free pooh Shiesty till it’s backwards,0.5106,Positive,0.4,Positive,-0.3658404350280761,Negative
"https://youtu.be/EBw2TMEp4eg
💜",0.6369,Positive,0.0,Neutral,-0.2375989556312561,Negative
Пушистый,0.0,Neutral,-0.2,Negative,-0.3045376539230346,Negative
#FREE SHEISTY,0.5106,Positive,0.4,Positive,-0.2388688027858734,Negative
Pooh to clean wit it,0.4019,Positive,0.3666666666666667,Positive,0.2614408135414123,Neutral
Ewwwwwwwww shiiitttttt 🔥,-0.34,Negative,0.0,Neutral,-0.2891601324081421,Negative
2027 shiesty year,0.0,Neutral,0.0,Neutral,-0.2907713949680328,Negative
💪🏾,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
3 yr supervised release $ different in da South💯,0.0,Neutral,0.0,Neutral,0.4246010184288025,Positive
anotha criminal off the streets,-0.5267,Negative,-0.4,Negative,-0.4928023517131805,Negative
He got that fire,-0.34,Negative,0.0,Neutral,0.3329609930515289,Positive
"We will wait on you Mr. Shiesty. Stay safe in there 🙏
Hey guys just do *authentic views* to get views",0.4404,Positive,0.5,Positive,0.2783744931221008,Neutral
Fuck the law.,-0.5423,Negative,-0.4,Negative,-0.7229639291763306,Negative
Yuuuzzz,0.0,Neutral,0.0,Neutral,-0.2455159425735473,Negative
Free Pooh Shiesty,0.5106,Positive,0.4,Positive,0.2467547059059143,Neutral
Boy you crazy🔥,-0.5859,Negative,0.0,Neutral,0.4361861944198608,Positive
Free Pooh 🫡🔥,0.2263,Positive,0.4,Positive,0.2557519078254699,Neutral
This is awful i can feel myself losing brain cells,-0.6808,Negative,-1.0,Negative,-0.927685797214508,Negative
"so fuckin icy after the news lady says a green mclaren sports car, and then it cuts to him whippin it on the freeway. and then the slime coated mclaren bar   fire.",-0.5267,Negative,-0.15,Negative,-0.7736395001411438,Negative
brr brr 😂😂,0.7003,Positive,0.0,Neutral,0.3055967390537262,Neutral
Free shiesty 💯💯,0.5106,Positive,0.4,Positive,0.3660131394863128,Positive
Free shiesty main slime 🐍,0.5106,Positive,0.2833333333333333,Positive,0.3878801763057709,Positive
100k Likes 😈👈,0.7003,Positive,0.0,Neutral,-0.2421803474426269,Negative
🇱🇨🧨🔥,-0.34,Negative,0.0,Neutral,0.3085779249668121,Neutral
FREE MY BRO,0.5106,Positive,0.4,Positive,0.4230882823467254,Positive
5 years and still going drop💥💥💥,-0.8225,Negative,0.0,Neutral,0.7389406561851501,Positive
"Great flow!
🔥🔥🔥🔥beat!
But he self destructed.🤷🏾‍♂️.",-0.717,Negative,1.0,Positive,0.2701412737369537,Neutral
💯,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Free Shiesty,0.5106,Positive,0.4,Positive,0.2868470847606659,Neutral
#freeshiesty,0.0,Neutral,0.0,Neutral,0.2550028562545776,Neutral
#FREESHIESTY,0.0,Neutral,0.0,Neutral,0.2550028562545776,Neutral
ПУШИСТЫЙ,0.0,Neutral,-0.2,Negative,-0.3045376539230346,Negative
Free shiesty you be out soon it isnt allat💚💚🐍,0.6288,Positive,0.4,Positive,-0.3918569087982178,Negative
"This man is a huge inspiration to me, one day we gonna do a song together🙏",0.6908,Positive,0.4000000000000001,Positive,0.7803463935852051,Positive
"Just another rapper with the same flow , same garbage 🗑️",0.0,Neutral,0.0,Neutral,-0.8983993530273438,Negative
🔥🔥,-0.5859,Negative,0.0,Neutral,0.3085779249668121,Neutral
At least his music is out free. Bless.,0.7269,Positive,0.05,Positive,-0.6937371492385864,Negative
this Lil Way From Topeka Kansas .FREE SHIESTY BLRRDDD,0.6166,Positive,0.0,Neutral,0.408499538898468,Positive
Shiesty got his toes out 😂,0.4404,Positive,0.0,Neutral,-0.5149305462837219,Negative
#freeshiesty,0.0,Neutral,0.0,Neutral,0.2550028562545776,Neutral
Memphis only birth the real,0.0,Neutral,0.1,Positive,-0.3374959230422973,Negative
DUKEEE SHIESTYYY,0.0,Neutral,0.0,Neutral,-0.3312564194202423,Negative
BLLRRRRRRRDD BLRRRRRRRRD,0.0,Neutral,0.0,Neutral,-0.2794737219810486,Negative
Stay strong 💪✨,0.6808,Positive,0.4333333333333333,Positive,0.6003446578979492,Positive
FREE POOH💯✊🏽,0.6166,Positive,0.4,Positive,0.3674807250499725,Positive
#freeshiesty,0.0,Neutral,0.0,Neutral,0.2550028562545776,Neutral
It's January 2022 💟 let's see how many legend and fans are still listening to this masterpiece...💙💜❣️💖♥️❤️,0.9875,Positive,0.5,Positive,0.5510892868041992,Positive
Free Shiesty!!! Big BLRRR,0.6341,Positive,0.390625,Positive,0.4807230830192566,Positive
Pooh shiesty Damm,0.0,Neutral,0.0,Neutral,-0.4469309449195862,Negative
https://youtu.be/EU5Y7SUV_7w‼️🔥🔥🔥,-0.7351,Negative,0.0,Neutral,0.2691401839256286,Neutral
This was trash 🗑️ he could have done much better. Free Mr Pooh 🩸,0.7351,Positive,0.45,Positive,-0.8536755442619324,Negative
Free my lil bra!!!!!Big 💯💯🎯👆🏾👆🏾,0.6671,Positive,0.4,Positive,0.7609980702400208,Positive
🗣🗣🔥🔥👆🏾👆🏾💯,-0.5859,Negative,0.0,Neutral,0.3085779249668121,Neutral
They shot a nigga then shot a video 😭,-0.4767,Negative,0.0,Neutral,-0.5292446613311768,Negative
Gone be right back Blrddddd,0.0,Neutral,0.1428571428571428,Positive,-0.2922076284885406,Negative
Free shiesty 💪✅,0.5106,Positive,0.4,Positive,0.3660131394863128,Positive
#FreeShiesty 🎉🎉🎉🎉🎉,0.91,Positive,0.0,Neutral,0.3160941302776336,Neutral
Back in Blood flow,0.0,Neutral,0.0,Neutral,0.3664649724960327,Positive
That’s the same whip gaaadaannmmm,0.0,Neutral,0.0,Neutral,-0.3586976826190948,Negative
Free Pooh shiesty,0.5106,Positive,0.4,Positive,0.2467547059059143,Neutral
"Damn, this video is FIRE! I wonder which language he's rapping. Greetings from L.A.🔥",-0.6932,Negative,0.0,Neutral,-0.7331491708755493,Negative
Fool WILDING. That’s the same McLaren he sent shots at buddy from😂😂🤦🏾‍♂️🤦🏾‍♂️,0.4404,Positive,0.0,Neutral,-0.6805278062820435,Negative
Keep pushin homes,0.0,Neutral,0.0,Neutral,0.3511630594730377,Positive
Didn’t lil jay video start like this video lol,0.6486,Positive,0.8,Positive,-0.5940148830413818,Negative
this guys shit slaps love it,0.1531,Positive,0.15,Positive,0.8225153088569641,Positive
Stay chill we all wanna just enjoy the day,0.4939,Positive,0.4,Positive,0.5630386471748352,Positive
🌴🔥💯🌴🌴,-0.34,Negative,0.0,Neutral,0.3085779249668121,Neutral
Pooh Shiesty goes so hard! Let this time go by fast so we can get him back!,-0.3507,Negative,-0.0548611111111111,Negative,-0.4880851507186889,Negative
5 years 🥲,0.0,Neutral,0.0,Neutral,0.7280849814414978,Positive
Ay Yawll Need To Drop An Extended Video Bro 1HR,-0.2732,Negative,0.0,Neutral,-0.4212226569652557,Negative
"its really a shame that todays pop rap has zero substance.
it was created as an uplifter and to disseminate knowledge, all kinds of knowledge. now its done and designed to keep the Prison Industrial complex thriving.",-0.6887,Negative,-0.0499999999999999,Negative,-0.3266435861587524,Negative
At the end day.......Free Pooh Sheisty🔫🔥🔫,-0.34,Negative,0.0,Neutral,0.3756839632987976,Positive
He boutta be a good boy in prison,-0.1027,Negative,0.7,Positive,-0.4023918509483337,Negative
they need to free POOH,0.5106,Positive,0.4,Positive,-0.2491994053125381,Negative
Hardest to come out in awhile I did 4 up the road he be home before we know it then it’s up,0.0,Neutral,0.0,Neutral,-0.6144428849220276,Negative
That’s the car he rented. To bust that pistol in. Then get on the gram a flex with a rented car. Drop a 10. Got a 10. Talk to you in 10,-0.2732,Negative,0.0,Neutral,-0.7212430238723755,Negative
Jibberish nonsense doesn't even rhyme. The state of hip hop today is on life support.,0.0,Neutral,0.0,Neutral,-0.7065407037734985,Negative
Them 5 years gone fly so fast for us but for him that’s a long time ! 💯 cus ain’t nun to do to keep yo mind occupied in there,0.0,Neutral,0.3125,Positive,0.562368631362915,Positive
Imagine wasting 5 years of your life for robbing someone when you was already rich. Time to come home a clone.,0.2263,Positive,0.375,Positive,0.4770977199077606,Positive
